process,process description,parameter,value,unit,description,
 , ,ScalCar,1.00000,(-),scale factor for primary variable
 , ,FrDetCS3,0.00000,(gC/gDM),fraction DetC in layer S3
 , ,ScalCar,1.00000,(-),scale factor for primary variable
 , ,fResS1DM,Using output from proces [Res_DM              ],(g/m2/d),total resuspension flux DM from layer S1
 , ,fResS2DM,Using output from proces [Res_DM              ],(gDM/m2/d),total resuspension flux DM from layer S2
 , ,fBurS1DM,Using output from proces [Bur_DM              ],(gDM/m2/d),total burial flux DM from layer S1
 , ,fBurS2DM,Using output from proces [Bur_DM              ],(gDM/m2/d),total burial flux DM from layer S2
 , ,fDigS1DM,0.00000,(gDM/m2/d),total digging flux DM to layer S1
 , ,fDigS2DM,0.00000,(gDM/m2/d),total digging flux DM to layer S2
 , ,SWDigS1,0.00000,(-),switch for digging S1 (0=actual 1=deeper)
 , ,SWDigS2,0.00000,(-),switch for digging S2 (0=actual 1=deeper)
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,SedZoneSW,0.00000,(-),SWITCH 0=no SWITCH <0 per segment >0 per zone
Bur_DM,Burial total bottom mass (dry matter),fSedDM,Using output from proces [Sum_Sedim           ],(gDM/m2/d),total sedimentation flux dry matter
 , ,fResS1DM,Using output from proces [Res_DM              ],(g/m2/d),total resuspension flux DM from layer S1
 , ,fResS2DM,Using output from proces [Res_DM              ],(gDM/m2/d),total resuspension flux DM from layer S2
 , ,ZBurDMS1,0.00000,(gDM/m2/d),zeroth-order burial flux for layer S1
 , ,ZBurDMS2,0.00000,(gDM/m2/d),zeroth-order burial flux for layer S2
 , ,VBurDMS1,0.250000E-02,(1/d),first order burial rate for layer S1
 , ,VBurDMS2,0.00000,(1/d),first order burial rate for layer S2
 , ,ActThS1,Using output from proces [S1_Comp             ],(m),actual thickness layer S1
 , ,ActThS2,Using output from proces [S2_Comp             ],(m),actual thickness layer S2
 , ,MaxTHS1,999999.,(m),maximum thickness layer S1
 , ,MaxTHS2,0.500000,(m),maximum thickness layer S2
 , ,SWSediment,1.00000,(-),switch for sediment (0=fixed 1=variable)
 , ,FixTHS1,0.500000E-01,(m),fixed thickness of layer S1
 , ,FixTHS2,0.500000,(m),fixed thickness of layer S2
 , ,RHOS1,Using output from proces [S1_Comp             ],(g/m3),overall bulk density layer S1
 , ,RHOS2,Using output from proces [S2_Comp             ],(g/m3),overall bulk density layer S2
 , ,PORS1,0.300000,(-),porosity of sediment layer S1
 , ,PORS2,0.00000,(m3pores/m3bulk),porosity of sediment layer S2
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,Surf,Using parameter nr 44,(m2),horizontal surface area of a DELWAQ segment
Res_DM,Resuspension total bottom material (dry mass),DMS1,Using output from proces [S1_Comp             ],(gDM/m2),total amount of dry matter in layer S1
 , ,DMS2,Using output from proces [S2_Comp             ],(gDM/m2),total amount of dry matter in layer S2
 , ,ZResDM,25000.0,(gDM/m2/d),zeroth-order resuspension flux
 , ,VResDM,0.00000,(1/d),first order resuspension velocity DM
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucRS1DM,0.200000,(N/m2),critical shear stress for resuspension DM layer S1
 , ,TaucRS2DM,0.500000,(N/m2),critical shear stress for resuspension DM layer S2
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,Surf,Using parameter nr 44,(m2),horizontal surface area of a DELWAQ segment
 , ,SWResusp,0.00000,(-),switch resuspension (0=z+f 1=min(zf))
Sum_Sedim,Total of all sedimenting substances,fSedIM1,Using output from proces [Sed_IM1             ],(g/m2/d),sedimentation flux IM1 towards S1
 , ,fSedIM2,0.00000,(g/m2/d),sedimentation flux IM2 towards S1
 , ,fSedIM3,0.00000,(g/m2/d),sedimentation flux IM3 towards S1
 , ,fSedIM1S2,Using output from proces [Sed_IM1             ],(g/m2/d),sedimentation flux IM1 towards S2
 , ,fSedIM2S2,0.00000,(g/m2/d),sedimentation flux IM2 towards S2
 , ,fSedIM3S2,0.00000,(g/m2/d),sedimentation flux IM3 towards S2
 , ,fSedPOC1,Using output from proces [Sed_POC1            ],(gC/m2/d),sedimentation flux POC1
 , ,fSedPOC2,0.00000,(gC/m2/d),sedimentation flux POC2
 , ,fSedPOC3,0.00000,(gC/m2/d),sedimentation flux POC3
 , ,fSedPOC4,0.00000,(gC/m2/d),sedimentation flux POC4
 , ,fSedPHYT,Using output from proces [SedPhBlo            ],(gC/m2/d),total sedimentation flux phytoplankton
 , ,fSedAlgDM,Using output from proces [SedPhBlo            ],(gDM/m2/d),total sedimentation flux phytoplankton as DM
 , ,DMCFIM1,1.00000,(gDM/gDM),DM:C ratio IM1
 , ,DMCFIM2,1.00000,(gDM/gDM),DM:C ratio IM2
 , ,DMCFIM3,1.00000,(gDM/gDM),DM:C ratio IM3
 , ,DmCfPOC1,2.50000,(gDM/gC),DM:C ratio POC1
 , ,DmCfPOC2,2.50000,(gDM/gC),DM:C ratio POC2
 , ,DmCfPOC3,2.50000,(gDM/gC),DM:C ratio POC3
 , ,DmCfPOC4,2.50000,(gDM/gC),DM:C ratio POC4
 , ,IM1,Using segment function nr  3,(gDM/m3),inorganic matter (IM1)
 , ,IM2,0.00000,(gDM/m3),inorganic matter (IM2)
 , ,IM3,0.00000,(gDM/m3),inorganic matter (IM3)
 , ,POC1,Using substance nr   5,(gC/m3),POC1 (fast decomposing fraction)
 , ,POC2,0.00000,(gC/m3),POC2 (medium decomposing fraction)
 , ,POC3,0.00000,(gC/m3),POC3 (slow decomposing fraction)
 , ,POC4,0.00000,(gC/m3),POC4 (particulate refractory fraction)
 , ,VxSedIM1,Using output from proces [Sed_IM1             ],(m/s),sedimentation velocity IM1
 , ,VxSedIM2,0.00000,(m/s),sedimentation velocity IM2
 , ,VxSedIM3,0.00000,(m/s),sedimentation velocity IM3
 , ,VxSedPOC1,Using output from proces [Sed_POC1            ],(m/s),sedimentation velocity POC1
 , ,VxSedPOC2,0.00000,(m/s),sedimentation velocity POC2
 , ,VxSedPOC3,0.00000,(m/s),sedimentation velocity POC3
 , ,VxSedPOC4,0.00000,(m/s),sedimentation velocity POC4
SedNPOC1,Sedim. nutrients in POC1,fSedPOC1,Using output from proces [Sed_POC1            ],(gC/m2/d),sedimentation flux POC1
 , ,C-NPOC1,Using output from proces [Compos              ],(gC/gN),C:N ratio fast decaying detritus
 , ,C-PPOC1,Using output from proces [Compos              ],(gC/gP),C:P ratio fast decaying detritus
 , ,C-SPOC1,Using output from proces [Compos              ],(gC/gS),C:S ratio fast decaying detritus
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,VxSedPOC1,Using output from proces [Sed_POC1            ],(m/s),sedimentation velocity POC1
Sed_POC1,Sedimentation POC1 3d,POC1,Using substance nr   5,(gC/m3),POC1 (fast decomposing fraction)
 , ,ZSedPOC1,0.00000,(gC/m2/d),zeroth-order sedimentation flux POC1
 , ,VSedPOC1,Using output from proces [CalVS_POC1          ],(m/d),sedimentation velocity POC1
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucSPOC1,0.100000,(N/m2),critical shear stress for sedimentation POC1
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VSedPOC1,Using output from proces [CalVS_POC1          ],(m/d),sedimentation velocity POC1
Sed_Opal,Sedimentation Opal 3d,Opal,Using substance nr   8,,Opal-Si
 , ,ZSedOpal,0.00000,(gSi/m2/d),zeroth-order sedimentation flux Opal
 , ,VSedOpal,0.100000,(m/d),sedimentation velocity Opal
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucSPOC1,0.100000,(N/m2),critical shear stress for sedimentation POC1
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VSedOpal,0.100000,(m/d),sedimentation velocity Opal
SedPhBlo,Sum sedimentation of algae - Bloom,NAlgBloom,30.0000,(-),number of algae types in BLOOM
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,FSEDMDI_E,Using output from proces [SEDALG01            ],NOUNIT,sedimentation flux algae type 01
 , ,FSEDMDI_N,Using output from proces [SEDALG02            ],NOUNIT,sedimentation flux algae type 02
 , ,FSEDMDI_P,Using output from proces [SEDALG03            ],NOUNIT,sedimentation flux algae type 03
 , ,FSEDMFL_E,Using output from proces [SEDALG04            ],NOUNIT,sedimentation flux algae type 04
 , ,FSEDMFL_N,Using output from proces [SEDALG05            ],NOUNIT,sedimentation flux algae type 05
 , ,FSEDMFL_P,Using output from proces [SEDALG06            ],NOUNIT,sedimentation flux algae type 06
 , ,FSEDDIN_E,Using output from proces [SEDALG07            ],NOUNIT,sedimentation flux algae type 07
 , ,FSEDDIN_N,Using output from proces [SEDALG08            ],NOUNIT,sedimentation flux algae type 08
 , ,FSEDDIN_P,Using output from proces [SEDALG09            ],NOUNIT,sedimentation flux algae type 09
 , ,FSEDPHA_E,Using output from proces [SEDALG10            ],NOUNIT,sedimentation flux algae type 10
 , ,FSEDPHA_N,Using output from proces [SEDALG11            ],NOUNIT,sedimentation flux algae type 11
 , ,FSEDPHA_P,Using output from proces [SEDALG12            ],NOUNIT,sedimentation flux algae type 12
 , ,FSEDULS_E,Using output from proces [SEDALG13            ],NOUNIT,sedimentation flux algae type 13
 , ,FSEDULS_N,Using output from proces [SEDALG14            ],NOUNIT,sedimentation flux algae type 14
 , ,FSEDULS_P,Using output from proces [SEDALG15            ],NOUNIT,sedimentation flux algae type 15
 , ,FSEDULF_E,Using output from proces [SEDALG16            ],NOUNIT,sedimentation flux algae type 16
 , ,FSEDULF_N,Using output from proces [SEDALG17            ],NOUNIT,sedimentation flux algae type 17
 , ,FSEDULF_P,Using output from proces [SEDALG18            ],NOUNIT,sedimentation flux algae type 18
 , ,fSedAlg19,0.00000,(gC/m2/d),sedimentation flux algae type 19
 , ,fSedAlg20,0.00000,(gC/m2/d),sedimentation flux algae type 20
 , ,fSedAlg21,0.00000,(gC/m2/d),sedimentation flux algae type 21
 , ,fSedAlg22,0.00000,(gC/m2/d),sedimentation flux algae type 22
 , ,fSedAlg23,0.00000,(gC/m2/d),sedimentation flux algae type 23
 , ,fSedAlg24,0.00000,(gC/m2/d),sedimentation flux algae type 24
 , ,fSedAlg25,0.00000,(gC/m2/d),sedimentation flux algae type 25
 , ,fSedAlg26,0.00000,(gC/m2/d),sedimentation flux algae type 26
 , ,fSedAlg27,0.00000,(gC/m2/d),sedimentation flux algae type 27
 , ,fSedAlg28,0.00000,(gC/m2/d),sedimentation flux algae type 28
 , ,fSedAlg29,0.00000,(gC/m2/d),sedimentation flux algae type 29
 , ,fSedAlg30,0.00000,(gC/m2/d),sedimentation flux algae type 30
 , ,DMCFMDI_E,3.00000,NOUNIT,DM:C ratio algae type 01
 , ,DMCFMDI_N,3.00000,NOUNIT,DM:C ratio algae type 02
 , ,DMCFMDI_P,3.00000,NOUNIT,DM:C ratio algae type 03
 , ,DMCFMFL_E,2.50000,NOUNIT,DM:C ratio algae type 04
 , ,DMCFMFL_N,2.50000,NOUNIT,DM:C ratio algae type 05
 , ,DMCFMFL_P,2.50000,NOUNIT,DM:C ratio algae type 06
 , ,DMCFDIN_E,2.50000,NOUNIT,DM:C ratio algae type 07
 , ,DMCFDIN_N,2.50000,NOUNIT,DM:C ratio algae type 08
 , ,DMCFDIN_P,2.50000,NOUNIT,DM:C ratio algae type 09
 , ,DMCFPHA_E,2.50000,NOUNIT,DM:C ratio algae type 10
 , ,DMCFPHA_N,2.50000,NOUNIT,DM:C ratio algae type 11
 , ,DMCFPHA_P,2.50000,NOUNIT,DM:C ratio algae type 12
 , ,DMCFULS_E,3.00000,NOUNIT,DM:C ratio algae type 13
 , ,DMCFULS_N,3.00000,NOUNIT,DM:C ratio algae type 14
 , ,DMCFULS_P,3.00000,NOUNIT,DM:C ratio algae type 15
 , ,DMCFULF_E,3.00000,NOUNIT,DM:C ratio algae type 16
 , ,DMCFULF_N,3.00000,NOUNIT,DM:C ratio algae type 17
 , ,DMCFULF_P,3.00000,NOUNIT,DM:C ratio algae type 18
 , ,DMCFAlg19,2.50000,(gDM/gC),DM:C ratio algae type 19
 , ,DMCFAlg20,2.50000,(gDM/gC),DM:C ratio algae type 20
 , ,DMCFAlg21,2.50000,(gDM/gC),DM:C ratio algae type 21
 , ,DMCFAlg22,2.50000,(gDM/gC),DM:C ratio algae type 22
 , ,DMCFAlg23,2.50000,(gDM/gC),DM:C ratio algae type 23
 , ,DMCFAlg24,2.50000,(gDM/gC),DM:C ratio algae type 24
 , ,DMCFAlg25,2.50000,(gDM/gC),DM:C ratio algae type 25
 , ,DMCFAlg26,2.50000,(gDM/gC),DM:C ratio algae type 26
 , ,DMCFAlg27,2.50000,(gDM/gC),DM:C ratio algae type 27
 , ,DMCFAlg28,2.50000,(gDM/gC),DM:C ratio algae type 28
 , ,DMCFAlg29,2.50000,(gDM/gC),DM:C ratio algae type 29
 , ,DMCFAlg30,2.50000,(gDM/gC),DM:C ratio algae type 30
 , ,NCRMDI_E,0.255000,NOUNIT,N:C ratio algae type 01
 , ,NCRMDI_N,0.125000,NOUNIT,N:C ratio algae type 02
 , ,NCRMDI_P,0.150000,NOUNIT,N:C ratio algae type 03
 , ,NCRMFL_E,0.200000,NOUNIT,N:C ratio algae type 04
 , ,NCRMFL_N,0.140000,NOUNIT,N:C ratio algae type 05
 , ,NCRMFL_P,0.200000,NOUNIT,N:C ratio algae type 06
 , ,NCRDIN_E,0.162500,NOUNIT,N:C ratio algae type 07
 , ,NCRDIN_N,0.125000,NOUNIT,N:C ratio algae type 08
 , ,NCRDIN_P,0.137500,NOUNIT,N:C ratio algae type 09
 , ,NCRPHA_E,0.187500,NOUNIT,N:C ratio algae type 10
 , ,NCRPHA_N,0.135000,NOUNIT,N:C ratio algae type 11
 , ,NCRPHA_P,0.187500,NOUNIT,N:C ratio algae type 12
 , ,NCRULS_E,0.255100,NOUNIT,N:C ratio algae type 13
 , ,NCRULS_N,0.125100,NOUNIT,N:C ratio algae type 14
 , ,NCRULS_P,0.150100,NOUNIT,N:C ratio algae type 15
 , ,NCRULF_E,0.255100,NOUNIT,N:C ratio algae type 16
 , ,NCRULF_N,0.125100,NOUNIT,N:C ratio algae type 17
 , ,NCRULF_P,0.150100,NOUNIT,N:C ratio algae type 18
 , ,NCRAlg19,0.200000,(gN/gC),N:C ratio algae type 19
 , ,NCRAlg20,0.200000,(gN/gC),N:C ratio algae type 20
 , ,NCRAlg21,0.200000,(gN/gC),N:C ratio algae type 21
 , ,NCRAlg22,0.200000,(gN/gC),N:C ratio algae type 22
 , ,NCRAlg23,0.200000,(gN/gC),N:C ratio algae type 23
 , ,NCRAlg24,0.200000,(gN/gC),N:C ratio algae type 24
 , ,NCRAlg25,0.200000,(gN/gC),N:C ratio algae type 25
 , ,NCRAlg26,0.200000,(gN/gC),N:C ratio algae type 26
 , ,NCRAlg27,0.200000,(gN/gC),N:C ratio algae type 27
 , ,NCRAlg28,0.200000,(gN/gC),N:C ratio algae type 28
 , ,NCRAlg29,0.200000,(gN/gC),N:C ratio algae type 29
 , ,NCRAlg30,0.200000,(gN/gC),N:C ratio algae type 30
 , ,PCRMDI_E,0.315000E-01,NOUNIT,P:C ratio algae type 01
 , ,PCRMDI_N,0.175000E-01,NOUNIT,P:C ratio algae type 02
 , ,PCRMDI_P,0.112500E-01,NOUNIT,P:C ratio algae type 03
 , ,PCRMFL_E,0.200000E-01,NOUNIT,P:C ratio algae type 04
 , ,PCRMFL_N,0.150000E-01,NOUNIT,P:C ratio algae type 05
 , ,PCRMFL_P,0.112500E-01,NOUNIT,P:C ratio algae type 06
 , ,PCRDIN_E,0.167500E-01,NOUNIT,P:C ratio algae type 07
 , ,PCRDIN_N,0.150000E-01,NOUNIT,P:C ratio algae type 08
 , ,PCRDIN_P,0.130000E-01,NOUNIT,P:C ratio algae type 09
 , ,PCRPHA_E,0.225000E-01,NOUNIT,P:C ratio algae type 10
 , ,PCRPHA_N,0.212500E-01,NOUNIT,P:C ratio algae type 11
 , ,PCRPHA_P,0.112500E-01,NOUNIT,P:C ratio algae type 12
 , ,PCRULS_E,0.315100E-01,NOUNIT,P:C ratio algae type 13
 , ,PCRULS_N,0.175100E-01,NOUNIT,P:C ratio algae type 14
 , ,PCRULS_P,0.112600E-01,NOUNIT,P:C ratio algae type 15
 , ,PCRULF_E,0.315100E-01,NOUNIT,P:C ratio algae type 16
 , ,PCRULF_N,0.175100E-01,NOUNIT,P:C ratio algae type 17
 , ,PCRULF_P,0.112600E-01,NOUNIT,P:C ratio algae type 18
 , ,PCRAlg19,0.200000E-01,(gP/gC),P:C ratio algae type 19
 , ,PCRAlg20,0.200000E-01,(gP/gC),P:C ratio algae type 20
 , ,PCRAlg21,0.200000E-01,(gP/gC),P:C ratio algae type 21
 , ,PCRAlg22,0.200000E-01,(gP/gC),P:C ratio algae type 22
 , ,PCRAlg23,0.200000E-01,(gP/gC),P:C ratio algae type 23
 , ,PCRAlg24,0.200000E-01,(gP/gC),P:C ratio algae type 24
 , ,PCRAlg25,0.200000E-01,(gP/gC),P:C ratio algae type 25
 , ,PCRAlg26,0.200000E-01,(gP/gC),P:C ratio algae type 26
 , ,PCRAlg27,0.200000E-01,(gP/gC),P:C ratio algae type 27
 , ,PCRAlg28,0.200000E-01,(gP/gC),P:C ratio algae type 28
 , ,PCRAlg29,0.200000E-01,(gP/gC),P:C ratio algae type 29
 , ,PCRAlg30,0.200000E-01,(gP/gC),P:C ratio algae type 30
 , ,SCRMDI_E,0.447000,NOUNIT,Si:C ratio algae type 01
 , ,SCRMDI_N,0.283000,NOUNIT,Si:C ratio algae type 02
 , ,SCRMDI_P,0.283000,NOUNIT,Si:C ratio algae type 03
 , ,SCRMFL_E,0.00000,NOUNIT,Si:C ratio algae type 04
 , ,SCRMFL_N,0.00000,NOUNIT,Si:C ratio algae type 05
 , ,SCRMFL_P,0.00000,NOUNIT,Si:C ratio algae type 06
 , ,SCRDIN_E,0.00000,NOUNIT,Si:C ratio algae type 07
 , ,SCRDIN_N,0.00000,NOUNIT,Si:C ratio algae type 08
 , ,SCRDIN_P,0.00000,NOUNIT,Si:C ratio algae type 09
 , ,SCRPHA_E,0.00000,NOUNIT,Si:C ratio algae type 10
 , ,SCRPHA_N,0.00000,NOUNIT,Si:C ratio algae type 11
 , ,SCRPHA_P,0.00000,NOUNIT,Si:C ratio algae type 12
 , ,SCRULS_E,0.447100,NOUNIT,Si:C ratio algae type 13
 , ,SCRULS_N,0.283100,NOUNIT,Si:C ratio algae type 14
 , ,SCRULS_P,0.283100,NOUNIT,Si:C ratio algae type 15
 , ,SCRULF_E,0.447100,NOUNIT,Si:C ratio algae type 16
 , ,SCRULF_N,0.283100,NOUNIT,Si:C ratio algae type 17
 , ,SCRULF_P,0.283100,NOUNIT,Si:C ratio algae type 18
 , ,SCRAlg19,0.200000E-02,(gSi/gC),Si:C ratio algae type 19
 , ,SCRAlg20,0.200000E-02,(gSi/gC),Si:C ratio algae type 20
 , ,SCRAlg21,0.200000E-02,(gSi/gC),Si:C ratio algae type 21
 , ,SCRAlg22,0.200000E-02,(gSi/gC),Si:C ratio algae type 22
 , ,SCRAlg23,0.200000E-02,(gSi/gC),Si:C ratio algae type 23
 , ,SCRAlg24,0.200000E-02,(gSi/gC),Si:C ratio algae type 24
 , ,SCRAlg25,0.200000E-02,(gSi/gC),Si:C ratio algae type 25
 , ,SCRAlg26,0.200000E-02,(gSi/gC),Si:C ratio algae type 26
 , ,SCRAlg27,0.200000E-02,(gSi/gC),Si:C ratio algae type 27
 , ,SCRAlg28,0.200000E-02,(gSi/gC),Si:C ratio algae type 28
 , ,SCRAlg29,0.200000E-02,(gSi/gC),Si:C ratio algae type 29
 , ,SCRAlg30,0.200000E-02,(gSi/gC),Si:C ratio algae type 30
 , ,MDIATOMS_E,Using substance nr  16,NOUNIT,concentration of algae type 1
 , ,MDIATOMS_N,Using substance nr  17,NOUNIT,concentration of algae type 2
 , ,MDIATOMS_P,Using substance nr  18,NOUNIT,concentration of algae type 3
 , ,MFLAGELA_E,Using substance nr  19,NOUNIT,concentration of algae type 4
 , ,MFLAGELA_N,Using substance nr  20,NOUNIT,concentration of algae type 5
 , ,MFLAGELA_P,Using substance nr  21,NOUNIT,concentration of algae type 6
 , ,DINOFLAG_E,Using substance nr  13,NOUNIT,concentration of algae type 7
 , ,DINOFLAG_N,Using substance nr  14,NOUNIT,concentration of algae type 8
 , ,DINOFLAG_P,Using substance nr  15,NOUNIT,concentration of algae type 9
 , ,PHAEOCYS_E,Using substance nr  22,NOUNIT,concentration of algae type 10
 , ,PHAEOCYS_N,Using substance nr  23,NOUNIT,concentration of algae type 11
 , ,PHAEOCYS_P,Using substance nr  24,NOUNIT,concentration of algae type 12
 , ,ULVAS_E,Using substance nr  26,NOUNIT,concentration of algae type 13
 , ,ULVAS_N,Using substance nr  27,NOUNIT,concentration of algae type 14
 , ,ULVAS_P,Using substance nr  28,NOUNIT,concentration of algae type 15
 , ,ULVAF_E,Using substance nr  33,NOUNIT,concentration of algae type 16
 , ,ULVAF_N,Using substance nr  34,NOUNIT,concentration of algae type 17
 , ,ULVAF_P,Using substance nr  35,NOUNIT,concentration of algae type 18
 , ,BLOOMALG19,-101.000,(gC/m3),concentration of algae type 19
 , ,BLOOMALG20,-101.000,(gC/m3),concentration of algae type 20
 , ,BLOOMALG21,-101.000,(gC/m3),concentration of algae type 21
 , ,BLOOMALG22,-101.000,(gC/m3),concentration of algae type 22
 , ,BLOOMALG23,-101.000,(gC/m3),concentration of algae type 23
 , ,BLOOMALG24,-101.000,(gC/m3),concentration of algae type 24
 , ,BLOOMALG25,-101.000,(gC/m3),concentration of algae type 25
 , ,BLOOMALG26,-101.000,(gC/m3),concentration of algae type 26
 , ,BLOOMALG27,-101.000,(gC/m3),concentration of algae type 27
 , ,BLOOMALG28,-101.000,(gC/m3),concentration of algae type 28
 , ,BLOOMALG29,-101.000,(gC/m3),concentration of algae type 29
 , ,BLOOMALG30,-101.000,(gC/m3),concentration of algae type 30
 , ,VxSedAlg01,Using output from proces [SEDALG01            ],(m/s),sedimentation velocity algae type 01
 , ,VxSedAlg02,Using output from proces [SEDALG02            ],(m/s),sedimentation velocity algae type 02
 , ,VxSedAlg03,Using output from proces [SEDALG03            ],(m/s),sedimentation velocity algae type 03
 , ,VxSedAlg04,Using output from proces [SEDALG04            ],(m/s),sedimentation velocity algae type 04
 , ,VxSedAlg05,Using output from proces [SEDALG05            ],(m/s),sedimentation velocity algae type 05
 , ,VxSedAlg06,Using output from proces [SEDALG06            ],(m/s),sedimentation velocity algae type 06
 , ,VxSedAlg07,Using output from proces [SEDALG07            ],(m/s),sedimentation velocity algae type 07
 , ,VxSedAlg08,Using output from proces [SEDALG08            ],(m/s),sedimentation velocity algae type 08
 , ,VxSedAlg09,Using output from proces [SEDALG09            ],(m/s),sedimentation velocity algae type 09
 , ,VxSedAlg10,Using output from proces [SEDALG10            ],(m/s),sedimentation velocity algae type 10
 , ,VxSedAlg11,Using output from proces [SEDALG11            ],(m/s),sedimentation velocity algae type 11
 , ,VxSedAlg12,Using output from proces [SEDALG12            ],(m/s),sedimentation velocity algae type 12
 , ,VxSedAlg13,Using output from proces [SEDALG13            ],(m/s),sedimentation velocity algae type 13
 , ,VxSedAlg14,Using output from proces [SEDALG14            ],(m/s),sedimentation velocity algae type 14
 , ,VxSedAlg15,Using output from proces [SEDALG15            ],(m/s),sedimentation velocity algae type 15
 , ,VxSedAlg16,Using output from proces [SEDALG16            ],(m/s),sedimentation velocity algae type 16
 , ,VxSedAlg17,Using output from proces [SEDALG17            ],(m/s),sedimentation velocity algae type 17
 , ,VxSedAlg18,Using output from proces [SEDALG18            ],(m/s),sedimentation velocity algae type 18
 , ,VxSedAlg19,0.00000,(m/s),sedimentation velocity algae type 19
 , ,VxSedAlg20,0.00000,(m/s),sedimentation velocity algae type 20
 , ,VxSedAlg21,0.00000,(m/s),sedimentation velocity algae type 21
 , ,VxSedAlg22,0.00000,(m/s),sedimentation velocity algae type 22
 , ,VxSedAlg23,0.00000,(m/s),sedimentation velocity algae type 23
 , ,VxSedAlg24,0.00000,(m/s),sedimentation velocity algae type 24
 , ,VxSedAlg25,0.00000,(m/s),sedimentation velocity algae type 25
 , ,VxSedAlg26,0.00000,(m/s),sedimentation velocity algae type 26
 , ,VxSedAlg27,0.00000,(m/s),sedimentation velocity algae type 27
 , ,VxSedAlg28,0.00000,(m/s),sedimentation velocity algae type 28
 , ,VxSedAlg29,0.00000,(m/s),sedimentation velocity algae type 29
 , ,VxSedAlg30,0.00000,(m/s),sedimentation velocity algae type 30
SEDALG18,Sedimentation of algae species 18,ULVAF_P,Using substance nr  35,NOUNIT,concentration of algae type 18
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedULF_P,Using output from proces [CalVSALG18          ],NOUNIT,sedimentation velocity algae type 18
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedULF_P,Using output from proces [CalVSALG18          ],NOUNIT,sedimentation velocity algae type 18
SEDALG17,Sedimentation of algae species 17,ULVAF_N,Using substance nr  34,NOUNIT,concentration of algae type 17
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedULF_N,Using output from proces [CalVSALG17          ],NOUNIT,sedimentation velocity algae type 17
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedULF_N,Using output from proces [CalVSALG17          ],NOUNIT,sedimentation velocity algae type 17
SEDALG16,Sedimentation of algae species 16,ULVAF_E,Using substance nr  33,NOUNIT,concentration of algae type 16
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedULF_E,Using output from proces [CalVSALG16          ],NOUNIT,sedimentation velocity algae type 16
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedULF_E,Using output from proces [CalVSALG16          ],NOUNIT,sedimentation velocity algae type 16
SEDALG15,Sedimentation of algae species 15,ULVAS_P,Using substance nr  28,NOUNIT,concentration of algae type 15
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedULS_P,Using output from proces [CalVSALG15          ],NOUNIT,sedimentation velocity algae type 15
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
